z* (z-axis),rms_w-rms_emin/rms_wmax_rms_wmin (x-axis)
0.044086981,0.568405481
0.056683261,0.585944366
0.075577681,0.639301454
0.094472102,0.759748783
0.125962802,0.735071287
0.157453503,0.79172455
0.188944204,0.902326654
0.220434904,0.91895371
0.251925605,0.987553593
0.283416305,1
0.314907006,0.975467441
0.377888407,0.922556426
0.440869809,0.946182945
0.50385121,0.905852989
0.566832611,0.935754062
0.629814012,0.971577483
0.692795413,0.839932778
0.818758216,0.730128735
0.944721018,0.579054397
1.070683821,0.398915164
1.196646623,0.241299962
1.322609426,0.189582135
1.448572228,0.072259323
1.54304433,0
0.018106716,0.44186169
0.03017786,0.471409362
0.042249004,0.503544465
0.054320148,0.566649109
0.072426864,0.608924414
0.09053358,0.661879984
0.12071144,0.741677485
0.1508893,0.785705119
0.18106716,0.859203554
0.21124502,0.83615869
0.24142288,0.880486049
0.27160074,0.94918008
0.3017786,0.940444657
0.36213432,0.957599975
0.422490039,0.946008185
0.482845759,0.967523243
0.543201479,1
0.603557199,0.929759778
0.663912919,0.884517708
0.784624359,0.698861942
0.905335799,0.649995392
1.026047239,0.45872816
1.146758679,0.286276309
1.267470118,0.193271251
1.388181558,0.103991427
1.478715138,0
0.024701777,0.232001876
0.041169629,0.196830572
0.05763748,0.244410367
0.074105331,0.24348441
0.098807109,0.292405113
0.123508886,0.298821494
0.164678514,0.335435681
