z* (z-axis),rms_u-rms_umin/rms_umax_rms_umin (x-axis)
0.7040272,0.92130854
0.7822524,0.852385485
0.8604777,0.800682671
1.0169281,0.463518409
1.1733786,0.257617679
1.3298291,0.140269137
1.4862796,0.120840299
1.6427301,0.084936794
1.7991805,0.028298894
1.9165184,0
0.0226446,0.578036865
0.037741,0.546573312
0.0528374,0.524141749
0.0679338,0.577227399
0.0905784,0.595033152
0.113223,0.699784008
0.150964,0.708700708
0.188705,0.74273141
0.226446,0.757424841
0.264187,0.788385596
0.301928,0.857777937
0.339669,0.919287903
0.37741,0.858712526
0.452892,0.940717038
0.528374,0.930139874
0.603856,1
0.6793379,0.865383258
0.7548199,0.792193705
0.8303019,0.746098509
0.9812659,0.52670959
1.1322299,0.311476892
1.2831939,0.170708243
1.4341579,0.189144575
1.5851219,0.081718817
1.7360859,0.014590075
1.8493089,0
0.020826,0.67434493
0.03471,0.667427995
0.0485941,0.769189697
0.0624781,0.723069014
0.0833041,0.662297963
0.1041301,0.722541687
0.1388402,0.709030506
0.1735502,0.747522857
0.2082602,0.828138446
0.2429703,0.857565922
0.2776803,0.799806131
0.3123903,0.8917676
0.3471004,0.938442625
0.4165205,0.96040034
0.4859405,0.972675703
0.5553606,0.994216901
0.6247807,1
0.6942008,0.945652757
0.7636208,0.915022212
0.902461,0.638804703
1.0413011,0.441225627
1.1801413,0.294371651
1.3189815,0.214186737
1.4578216,0.137679611
1.5966618,0.025598665
1.7007919,0
0.0187317,0.67515496
0.0312195,0.641898245
0.0437073,0.668527507
0.056195,0.661190204
0.0749267,0.713712268
0.0936584,0.661724159
0.1248779,0.704476182
0.1560973,0.782490141
0.1873168,0.786528145
0.2185363,0.818074156
0.2497557,0.792968579
0.2809752,0.833289838
0.3121947,0.859795468
0.3746336,0.868230182
0.4370726,0.913125074
0.4995115,0.924105407
0.5619504,0.903379827
0.6243894,1
0.6868283,0.89471749
0.8117062,0.789886748
0.936584,0.595561177
1.0614619,0.407383348
1.1863398,0.201786126
1.3112177,0.146161538
1.4360955,0.000895514
1.5297539,0
